Year,Location,Competition,Round,Phase,Class,Rank,Bib,Athlete Name,Last Name,First Name,Nation,Time,Time Behind,% Behind Winner,Faults,Competition ID,Athlete ID
2025,Foix,Junior World Championships,Time Trial,Time Trial,MCSLX,49,142,Anton BOIVIN,BOIVIN,Anton,BEL,59.13,7.92,115.47%,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Time Trial MCSLX Anton BOIVIN
2025,Foix,Junior World Championships,Time Trial,Time Trial,MCSLX,50,110,Aar MAGAN,MAGAN,Aar,DJI,59.58,8.37,116.34%,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Time Trial MCSLX Aar MAGAN
2025,Foix,Junior World Championships,Time Trial,Time Trial,MCSLX,51,157,Antonio LIMA,LIMA,Antonio,POR,59.66,8.45,116.50%,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Time Trial MCSLX Antonio LIMA
2025,Foix,Junior World Championships,Time Trial,Time Trial,MCSLX,52,166,Gordey SHCHEHLOV,SHCHEHLOV,Gordey,POR,59.72,8.51,116.62%,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Time Trial MCSLX Gordey SHCHEHLOV
2025,Foix,Junior World Championships,Time Trial,Time Trial,MCSLX,53,169,Klavs AUZNIEKS,AUZNIEKS,Klavs,LAT,59.76,8.55,116.70%,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Time Trial MCSLX Klavs AUZNIEKS
2025,Foix,Junior World Championships,Time Trial,Time Trial,MCSLX,54,170,Shunsuke TANAKA,TANAKA,Shunsuke,JPN,59.8,8.59,116.77%,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Time Trial MCSLX Shunsuke TANAKA
2025,Foix,Junior World Championships,Time Trial,Time Trial,MCSLX,55,168,Scott VENNIKER,VENNIKER,Scott,RSA,60.05,8.84,117.26%,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Time Trial MCSLX Scott VENNIKER
2025,Foix,Junior World Championships,Time Trial,Time Trial,MCSLX,56,164,Teppei SAITO,SAITO,Teppei,JPN,60.47,9.26,118.08%,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Time Trial MCSLX Teppei SAITO
2025,Foix,Junior World Championships,Time Trial,Time Trial,MCSLX,57,139,Isaac LONG,LONG,Isaac,USA,60.82,9.61,118.77%,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Time Trial MCSLX Isaac LONG
2025,Foix,Junior World Championships,Time Trial,Time Trial,MCSLX,58,145,Juan Antonio CARRASCO CADILLO,CARRASCO CADILLO,Juan Antonio,PER,61.78,10.57,120.64%,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Time Trial MCSLX Juan Antonio CARRASCO CADILLO
