UID,Year,Location,Competition,Phase,Class,Rank,Bib,Athlete Name,Nation,Gate 1,Gate 2,Gate 3,Gate 4,Gate 5,Gate 6,Gate 7,Gate 8,Gate 9,Gate 10,Gate 11,Gate 12,Gate 13,Gate 14,Gate 15,Gate 16,Gate 17,Gate 18,Gate 19,Gate 20,Gate 21,Gate 22,Gate 23,Gate 24,Gate 25,Raw Time,Total Penalties,Total Time,Heats Format,Raw % Behind,Total % Behind,Year of Birth
2012 Seu World Cup 3 Heat 1 K1W 5,2012,Seu,World Cup 3,Heat 1,K1W,5,203,Maialen CHOURRAUT,ESP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,,,92.74,2,94.74,Best of 2,101.34%,103.53%,1983
2012 Seu World Cup 3 Heat 2 K1W 1,2012,Seu,World Cup 3,Heat 2,K1W,1,203,Maialen CHOURRAUT,ESP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,89.38,0,89.38,Best of 2,100.00%,100.00%,1983
2012 Seu World Cup 3 Heat 1 K1W 1,2012,Seu,World Cup 3,Heat 1,K1W,1,202,Melanie PFEIFER,GER,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,91.51,0,91.51,Best of 2,100.00%,100.00%,1986
2012 Seu World Cup 3 Heat 2 K1W 41,2012,Seu,World Cup 3,Heat 2,K1W,41,202,Melanie PFEIFER,GER,-,-,-,-,-,-,-,-,-,50,2,-,-,-,-,-,-,-,-,-,-,-,-,,,93.51,52,145.51,Best of 2,104.62%,162.80%,1986
2012 Seu World Cup 3 Heat 1 K1W 13,2012,Seu,World Cup 3,Heat 1,K1W,13,214,Emilie FER,FRA,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,95.27,2,97.27,Best of 2,104.11%,106.29%,1983
2012 Seu World Cup 3 Heat 2 K1W 2,2012,Seu,World Cup 3,Heat 2,K1W,2,214,Emilie FER,FRA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,92.59,0,92.59,Best of 2,103.59%,103.59%,1983
2012 Seu World Cup 3 Heat 1 K1W 2,2012,Seu,World Cup 3,Heat 1,K1W,2,218,Cindy POESCHEL,GER,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,93.54,0,93.54,Best of 2,102.22%,102.22%,1990
2012 Seu World Cup 3 Heat 2 K1W 45,2012,Seu,World Cup 3,Heat 2,K1W,45,218,Cindy POESCHEL,GER,-,-,-,-,-,-,-,-,-,50,-,-,-,2,-,-,-,2,-,-,-,-,-,,,100.89,54,154.89,Best of 2,112.88%,173.29%,1990
2012 Seu World Cup 3 Heat 1 K1W 3,2012,Seu,World Cup 3,Heat 1,K1W,3,231,Marta MARTINEZ,ESP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,93.8,0,93.8,Best of 2,102.50%,102.50%,1989
2012 Seu World Cup 3 Heat 2 K1W 13,2012,Seu,World Cup 3,Heat 2,K1W,13,231,Marta MARTINEZ,ESP,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,,,95.95,2,97.95,Best of 2,107.35%,109.59%,1989
2012 Seu World Cup 3 Heat 1 K1W 36,2012,Seu,World Cup 3,Heat 1,K1W,36,206,Fiona PENNIE,GBR,-,-,-,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,102.32,4,106.32,Best of 2,111.81%,116.18%,1982
2012 Seu World Cup 3 Heat 2 K1W 3,2012,Seu,World Cup 3,Heat 2,K1W,3,206,Fiona PENNIE,GBR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,94.39,0,94.39,Best of 2,105.61%,105.61%,1982
2012 Seu World Cup 3 Heat 1 K1W 32,2012,Seu,World Cup 3,Heat 1,K1W,32,224,Natalia PACIERPNIK,POL,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,,,101.79,2,103.79,Best of 2,111.23%,113.42%,1988
2012 Seu World Cup 3 Heat 2 K1W 4,2012,Seu,World Cup 3,Heat 2,K1W,4,224,Natalia PACIERPNIK,POL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,94.43,0,94.43,Best of 2,105.65%,105.65%,1988
2012 Seu World Cup 3 Heat 1 K1W 4,2012,Seu,World Cup 3,Heat 1,K1W,4,209,Jessica FOX,AUS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,94.54,0,94.54,Best of 2,103.31%,103.31%,1994
2012 Seu World Cup 3 Heat 1 K1W 8,2012,Seu,World Cup 3,Heat 1,K1W,8,223,Louise DONINGTON,GBR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,,,94.39,2,96.39,Best of 2,103.15%,105.33%,1984
2012 Seu World Cup 3 Heat 2 K1W 5,2012,Seu,World Cup 3,Heat 2,K1W,5,223,Louise DONINGTON,GBR,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,92.7,2,94.7,Best of 2,103.71%,105.95%,1984
2012 Seu World Cup 3 Heat 1 K1W 6,2012,Seu,World Cup 3,Heat 1,K1W,6,201,Corinna KUHNLE,AUT,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,,,92.82,2,94.82,Best of 2,101.43%,103.62%,1987
2012 Seu World Cup 3 Heat 2 K1W 7,2012,Seu,World Cup 3,Heat 2,K1W,7,201,Corinna KUHNLE,AUT,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,,,94.59,2,96.59,Best of 2,105.83%,108.07%,1987
2012 Seu World Cup 3 Heat 1 K1W 49,2012,Seu,World Cup 3,Heat 1,K1W,49,204,Dana MANN,SVK,-,-,2,-,-,-,-,-,-,2,-,-,-,-,-,-,-,50,-,-,-,-,-,,,100.37,54,154.37,Best of 2,109.68%,168.69%,1984
2012 Seu World Cup 3 Heat 2 K1W 6,2012,Seu,World Cup 3,Heat 2,K1W,6,204,Dana MANN,SVK,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,94.97,0,94.97,Best of 2,106.25%,106.25%,1984
2012 Seu World Cup 3 Heat 1 K1W 7,2012,Seu,World Cup 3,Heat 1,K1W,7,210,Irena PAVELKOVA,CZE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,95.72,0,95.72,Best of 2,104.60%,104.60%,1974
2012 Seu World Cup 3 Heat 2 K1W 50,2012,Seu,World Cup 3,Heat 2,K1W,50,210,Irena PAVELKOVA,CZE,-,-,-,50,2,-,-,-,-,50,-,-,-,-,-,-,-,-,-,-,-,-,-,,,103.11,102,205.11,Best of 2,115.36%,229.48%,1974
2012 Seu World Cup 3 Heat 1 K1W 9,2012,Seu,World Cup 3,Heat 1,K1W,9,219,Jingjing LI,CHN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,96.5,0,96.5,Best of 2,105.45%,105.45%,1985
2012 Seu World Cup 3 Heat 2 K1W 15,2012,Seu,World Cup 3,Heat 2,K1W,15,219,Jingjing LI,CHN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,99.13,0,99.13,Best of 2,110.91%,110.91%,1985
2012 Seu World Cup 3 Heat 1 K1W 9,2012,Seu,World Cup 3,Heat 1,K1W,9,213,Eva TERCELJ,SLO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,96.5,0,96.5,Best of 2,105.45%,105.45%,1992
2012 Seu World Cup 3 Heat 2 K1W 30,2012,Seu,World Cup 3,Heat 2,K1W,30,213,Eva TERCELJ,SLO,-,-,-,-,-,-,2,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,,,97.67,4,101.67,Best of 2,109.28%,113.75%,1992
2012 Seu World Cup 3 Heat 1 K1W 24,2012,Seu,World Cup 3,Heat 1,K1W,24,232,Irati GOIKOETXEA,ESP,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,2,-,-,-,,,98.62,4,102.62,Best of 2,107.77%,112.14%,1986
2012 Seu World Cup 3 Heat 2 K1W 8,2012,Seu,World Cup 3,Heat 2,K1W,8,232,Irati GOIKOETXEA,ESP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,96.67,0,96.67,Best of 2,108.16%,108.16%,1986
2012 Seu World Cup 3 Heat 1 K1W 11,2012,Seu,World Cup 3,Heat 1,K1W,11,212,Elizabeth NEAVE,GBR,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,,,94.73,2,96.73,Best of 2,103.52%,105.70%,1987
2012 Seu World Cup 3 Heat 2 K1W 27,2012,Seu,World Cup 3,Heat 2,K1W,27,212,Elizabeth NEAVE,GBR,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,2,-,-,2,-,-,,,95.14,6,101.14,Best of 2,106.44%,113.16%,1987
2012 Seu World Cup 3 Heat 1 K1W 12,2012,Seu,World Cup 3,Heat 1,K1W,12,207,Violetta OBLINGER-PETERS,AUT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,96.77,0,96.77,Best of 2,105.75%,105.75%,1977
2012 Seu World Cup 3 Heat 2 K1W 17,2012,Seu,World Cup 3,Heat 2,K1W,17,207,Violetta OBLINGER-PETERS,AUT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,,,97.39,2,99.39,Best of 2,108.96%,111.20%,1977
2012 Seu World Cup 3 Heat 1 K1W 37,2012,Seu,World Cup 3,Heat 1,K1W,37,211,Ursa KRAGELJ,SLO,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,105.61,2,107.61,Best of 2,115.41%,117.59%,1988
2012 Seu World Cup 3 Heat 2 K1W 9,2012,Seu,World Cup 3,Heat 2,K1W,9,211,Ursa KRAGELJ,SLO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,96.86,0,96.86,Best of 2,108.37%,108.37%,1988
2012 Seu World Cup 3 Heat 1 K1W 16,2012,Seu,World Cup 3,Heat 1,K1W,16,227,Sarah GRANT,AUS,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,2,-,-,-,-,-,,,94.74,4,98.74,Best of 2,103.53%,107.90%,
2012 Seu World Cup 3 Heat 2 K1W 10,2012,Seu,World Cup 3,Heat 2,K1W,10,227,Sarah GRANT,AUS,-,-,-,-,-,-,2,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,,,93.04,4,97.04,Best of 2,104.09%,108.57%,
2012 Seu World Cup 3 Heat 1 K1W 18,2012,Seu,World Cup 3,Heat 1,K1W,18,229,Ekaterina PEROVA,RUS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,99.47,0,99.47,Best of 2,108.70%,108.70%,1985
2012 Seu World Cup 3 Heat 2 K1W 11,2012,Seu,World Cup 3,Heat 2,K1W,11,229,Ekaterina PEROVA,RUS,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,95.53,2,97.53,Best of 2,106.88%,109.12%,1985
2012 Seu World Cup 3 Heat 1 K1W 34,2012,Seu,World Cup 3,Heat 1,K1W,34,220,Ricarda FUNK,GER,-,-,2,-,-,2,-,-,-,-,-,-,-,2,-,2,-,-,-,-,-,-,-,,,97.49,8,105.49,Best of 2,106.53%,115.28%,1992
2012 Seu World Cup 3 Heat 2 K1W 12,2012,Seu,World Cup 3,Heat 2,K1W,12,220,Ricarda FUNK,GER,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,95.54,2,97.54,Best of 2,106.89%,109.13%,1992
2012 Seu World Cup 3 Heat 1 K1W 14,2012,Seu,World Cup 3,Heat 1,K1W,14,217,Caroline LOIR,FRA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,97.98,0,97.98,Best of 2,107.07%,107.07%,1988
2012 Seu World Cup 3 Heat 1 K1W 15,2012,Seu,World Cup 3,Heat 1,K1W,15,225,Aleksandra PEROVA,RUS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,98.48,0,98.48,Best of 2,107.62%,107.62%,1982
2012 Seu World Cup 3 Heat 2 K1W 49,2012,Seu,World Cup 3,Heat 2,K1W,49,225,Aleksandra PEROVA,RUS,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,2,50,-,-,-,-,,,110.67,54,164.67,Best of 2,123.82%,184.24%,1982
2012 Seu World Cup 3 Heat 1 K1W 31,2012,Seu,World Cup 3,Heat 1,K1W,31,205,Elena KALISKA,SVK,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,,,101.72,2,103.72,Best of 2,111.16%,113.34%,1972
2012 Seu World Cup 3 Heat 2 K1W 14,2012,Seu,World Cup 3,Heat 2,K1W,14,205,Elena KALISKA,SVK,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,99.06,0,99.06,Best of 2,110.83%,110.83%,1972
2012 Seu World Cup 3 Heat 1 K1W 25,2012,Seu,World Cup 3,Heat 1,K1W,25,241,Yuriko TAKESHITA,JPN,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,100.63,2,102.63,Best of 2,109.97%,112.15%,1988
2012 Seu World Cup 3 Heat 2 K1W 16,2012,Seu,World Cup 3,Heat 2,K1W,16,241,Yuriko TAKESHITA,JPN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,99.26,0,99.26,Best of 2,111.05%,111.05%,1988
2012 Seu World Cup 3 Heat 1 K1W 17,2012,Seu,World Cup 3,Heat 1,K1W,17,208,Katerina KUDEJOVA,CZE,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,,,97.45,2,99.45,Best of 2,106.49%,108.68%,1990
2012 Seu World Cup 3 Heat 2 K1W 23,2012,Seu,World Cup 3,Heat 2,K1W,23,208,Katerina KUDEJOVA,CZE,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,,,98.39,2,100.39,Best of 2,110.08%,112.32%,1990
2012 Seu World Cup 3 Heat 1 K1W 26,2012,Seu,World Cup 3,Heat 1,K1W,26,215,Katrina LAWRENCE,AUS,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,,,98.66,4,102.66,Best of 2,107.81%,112.18%,1983
2012 Seu World Cup 3 Heat 2 K1W 18,2012,Seu,World Cup 3,Heat 2,K1W,18,215,Katrina LAWRENCE,AUS,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,,,95.48,4,99.48,Best of 2,106.82%,111.30%,1983
2012 Seu World Cup 3 Heat 1 K1W 30,2012,Seu,World Cup 3,Heat 1,K1W,30,242,Viktoriya US,UKR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,103.25,0,103.25,Best of 2,112.83%,112.83%,1993
2012 Seu World Cup 3 Heat 2 K1W 19,2012,Seu,World Cup 3,Heat 2,K1W,19,242,Viktoriya US,UKR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,99.56,0,99.56,Best of 2,111.39%,111.39%,1993
2012 Seu World Cup 3 Heat 1 K1W 38,2012,Seu,World Cup 3,Heat 1,K1W,38,239,Olivia BYRNE-SUTTON,SUI,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,,,103.98,4,107.98,Best of 2,113.63%,118.00%,
2012 Seu World Cup 3 Heat 2 K1W 20,2012,Seu,World Cup 3,Heat 2,K1W,20,239,Olivia BYRNE-SUTTON,SUI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,99.61,0,99.61,Best of 2,111.45%,111.45%,
2012 Seu World Cup 3 Heat 1 K1W 50,2012,Seu,World Cup 3,Heat 1,K1W,50,234,Lu LI,CHN,-,-,-,-,-,-,-,-,-,2,-,-,-,2,-,-,-,-,50,-,-,-,-,,,104.18,54,158.18,Best of 2,113.85%,172.86%,1992
2012 Seu World Cup 3 Heat 2 K1W 21,2012,Seu,World Cup 3,Heat 2,K1W,21,234,Lu LI,CHN,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,,,95.68,4,99.68,Best of 2,107.05%,111.52%,1992
2012 Seu World Cup 3 Heat 1 K1W 21,2012,Seu,World Cup 3,Heat 1,K1W,21,216,Rosalyn LAWRENCE,AUS,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,,,99.21,2,101.21,Best of 2,108.41%,110.60%,1989
2012 Seu World Cup 3 Heat 2 K1W 22,2012,Seu,World Cup 3,Heat 2,K1W,22,216,Rosalyn LAWRENCE,AUS,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,98.09,2,100.09,Best of 2,109.74%,111.98%,1989
2012 Seu World Cup 3 Heat 1 K1W 19,2012,Seu,World Cup 3,Heat 1,K1W,19,228,Yingying ZOU,CHN,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,,,98.18,2,100.18,Best of 2,107.29%,109.47%,1981
2012 Seu World Cup 3 Heat 2 K1W 24,2012,Seu,World Cup 3,Heat 2,K1W,24,228,Yingying ZOU,CHN,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,98.55,2,100.55,Best of 2,110.26%,112.50%,1981
2012 Seu World Cup 3 Heat 1 K1W 47,2012,Seu,World Cup 3,Heat 1,K1W,47,221,Nina MOZETIC,SLO,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,2,50,-,-,-,-,,,96.63,54,150.63,Best of 2,105.60%,164.60%,1983
2012 Seu World Cup 3 Heat 2 K1W 25,2012,Seu,World Cup 3,Heat 2,K1W,25,221,Nina MOZETIC,SLO,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,98.76,2,100.76,Best of 2,110.49%,112.73%,1983
2012 Seu World Cup 3 Heat 1 K1W 42,2012,Seu,World Cup 3,Heat 1,K1W,42,222,Carole BOUZIDI,FRA,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,,,107.94,4,111.94,Best of 2,117.95%,122.33%,1985
2012 Seu World Cup 3 Heat 2 K1W 26,2012,Seu,World Cup 3,Heat 2,K1W,26,222,Carole BOUZIDI,FRA,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,99.07,2,101.07,Best of 2,110.84%,113.08%,1985
2012 Seu World Cup 3 Heat 1 K1W 20,2012,Seu,World Cup 3,Heat 1,K1W,20,237,Ashley NEE,USA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,,,99.17,2,101.17,Best of 2,108.37%,110.56%,1989
2012 Seu World Cup 3 Heat 2 K1W 45,2012,Seu,World Cup 3,Heat 2,K1W,45,237,Ashley NEE,USA,-,-,-,50,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,,,102.89,52,154.89,Best of 2,115.12%,173.29%,1989
2012 Seu World Cup 3 Heat 1 K1W 40,2012,Seu,World Cup 3,Heat 1,K1W,40,243,Ana SATILA,BRA,2,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,,,105,4,109,Best of 2,114.74%,119.11%,1996
2012 Seu World Cup 3 Heat 2 K1W 28,2012,Seu,World Cup 3,Heat 2,K1W,28,243,Ana SATILA,BRA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,101.33,0,101.33,Best of 2,113.37%,113.37%,1996
2012 Seu World Cup 3 Heat 1 K1W 27,2012,Seu,World Cup 3,Heat 1,K1W,27,252,Katja FRAUENRATH,GER,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,102.67,0,102.67,Best of 2,112.20%,112.20%,
2012 Seu World Cup 3 Heat 2 K1W 29,2012,Seu,World Cup 3,Heat 2,K1W,29,252,Katja FRAUENRATH,GER,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,,,99.42,2,101.42,Best of 2,111.23%,113.47%,
2012 Seu World Cup 3 Heat 1 K1W 44,2012,Seu,World Cup 3,Heat 1,K1W,44,240,Pavlina ZASTEROVA,CZE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,,,111.78,2,113.78,Best of 2,122.15%,124.34%,1993
2012 Seu World Cup 3 Heat 2 K1W 31,2012,Seu,World Cup 3,Heat 2,K1W,31,240,Pavlina ZASTEROVA,CZE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,,,99.84,2,101.84,Best of 2,111.70%,113.94%,1993
2012 Seu World Cup 3 Heat 1 K1W 22,2012,Seu,World Cup 3,Heat 1,K1W,22,251,Polina MUKHGALEEVA,RUS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,,,100.21,2,102.21,Best of 2,109.51%,111.69%,1991
2012 Seu World Cup 3 Heat 2 K1W 47,2012,Seu,World Cup 3,Heat 2,K1W,47,251,Polina MUKHGALEEVA,RUS,-,-,-,-,-,-,-,-,-,50,-,-,-,2,-,-,-,-,-,-,-,-,-,,,102.91,52,154.91,Best of 2,115.14%,173.32%,1991
2012 Seu World Cup 3 Heat 1 K1W 23,2012,Seu,World Cup 3,Heat 1,K1W,23,230,Viktoria WOLFFHARDT,AUT,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,100.26,2,102.26,Best of 2,109.56%,111.75%,1994
2012 Seu World Cup 3 Heat 2 K1W 33,2012,Seu,World Cup 3,Heat 2,K1W,33,230,Viktoria WOLFFHARDT,AUT,-,-,-,-,-,-,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,,,101.77,4,105.77,Best of 2,113.86%,118.34%,1994
2012 Seu World Cup 3 Heat 1 K1W 28,2012,Seu,World Cup 3,Heat 1,K1W,28,244,Claudia LEENDERS,NED,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,100.78,2,102.78,Best of 2,110.13%,112.32%,1994
2012 Seu World Cup 3 Heat 2 K1W 35,2012,Seu,World Cup 3,Heat 2,K1W,35,244,Claudia LEENDERS,NED,-,-,-,-,-,-,2,-,-,2,-,-,-,-,-,-,-,-,-,2,-,-,-,,,102.05,6,108.05,Best of 2,114.18%,120.89%,1994
2012 Seu World Cup 3 Heat 1 K1W 29,2012,Seu,World Cup 3,Heat 1,K1W,29,236,Jessica GROENEVELD,CAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,102.98,0,102.98,Best of 2,112.53%,112.53%,1989
2012 Seu World Cup 3 Heat 2 K1W 43,2012,Seu,World Cup 3,Heat 2,K1W,43,236,Jessica GROENEVELD,CAN,-,-,-,-,-,-,-,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,100.38,50,150.38,Best of 2,112.31%,168.25%,1989
2012 Seu World Cup 3 Heat 1 K1W 33,2012,Seu,World Cup 3,Heat 1,K1W,33,226,Eva ORNSTOVA,CZE,-,-,-,-,-,-,2,-,-,-,-,-,-,2,-,-,-,2,-,-,-,-,-,,,98.97,6,104.97,Best of 2,108.15%,114.71%,1989
2012 Seu World Cup 3 Heat 2 K1W 48,2012,Seu,World Cup 3,Heat 2,K1W,48,226,Eva ORNSTOVA,CZE,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,2,50,2,-,-,,,105.41,56,161.41,Best of 2,117.93%,180.59%,1989
2012 Seu World Cup 3 Heat 1 K1W 39,2012,Seu,World Cup 3,Heat 1,K1W,39,250,Yoshika ITO,JPN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,,,106.37,2,108.37,Best of 2,116.24%,118.42%,1984
2012 Seu World Cup 3 Heat 2 K1W 32,2012,Seu,World Cup 3,Heat 2,K1W,32,250,Yoshika ITO,JPN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,,,103.71,2,105.71,Best of 2,116.03%,118.27%,1984
2012 Seu World Cup 3 Heat 1 K1W 35,2012,Seu,World Cup 3,Heat 1,K1W,35,235,Aki YAZAWA,JPN,2,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,2,-,,,100.15,6,106.15,Best of 2,109.44%,116.00%,1991
2012 Seu World Cup 3 Heat 2 K1W 34,2012,Seu,World Cup 3,Heat 2,K1W,34,235,Aki YAZAWA,JPN,-,-,2,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,,,103.62,4,107.62,Best of 2,115.93%,120.41%,1991
2012 Seu World Cup 3 Heat 1 K1W 41,2012,Seu,World Cup 3,Heat 1,K1W,41,247,Ella NICHOLAS,COK,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,2,-,-,-,-,-,-,,,107.41,4,111.41,Best of 2,117.38%,121.75%,1991
2012 Seu World Cup 3 Heat 2 K1W 52,2012,Seu,World Cup 3,Heat 2,K1W,52,247,Ella NICHOLAS,COK,-,-,-,50,-,-,-,-,-,-,-,-,-,-,-,-,-,50,-,-,-,-,-,,,107.6,100,207.6,Best of 2,120.38%,232.27%,1991
2012 Seu World Cup 3 Heat 1 K1W 43,2012,Seu,World Cup 3,Heat 1,K1W,43,255,Emily JACKSON,USA,2,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,,,109.35,4,113.35,Best of 2,119.50%,123.87%,1990
2012 Seu World Cup 3 Heat 2 K1W 37,2012,Seu,World Cup 3,Heat 2,K1W,37,255,Emily JACKSON,USA,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2,-,-,-,-,-,-,-,,,112.04,4,116.04,Best of 2,125.35%,129.83%,1990
2012 Seu World Cup 3 Heat 1 K1W 45,2012,Seu,World Cup 3,Heat 1,K1W,45,249,Dian DERKS,NED,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,-,-,-,-,-,-,-,-,,,109.05,6,115.05,Best of 2,119.17%,125.72%,1993
2012 Seu World Cup 3 Heat 2 K1W 51,2012,Seu,World Cup 3,Heat 2,K1W,51,249,Dian DERKS,NED,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,50,-,-,-,,,106.44,100,206.44,Best of 2,119.09%,230.97%,1993
2012 Seu World Cup 3 Heat 1 K1W 54,2012,Seu,World Cup 3,Heat 1,K1W,54,245,Thea FROEHLICH,CAN,-,-,-,-,-,50,-,2,-,-,2,-,-,2,-,-,-,-,50,-,-,-,-,,,118,106,224,Best of 2,128.95%,244.78%,1991
